LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
840,7034,134663,Not applicable,23,61,11,22.2,53.6,9.5,8.4,"£43,976"
860,3494,134666,Primary,10,19,4,9.8,11.8,3.6,19.8,"£40,560"
302,3518,134677,Primary,26,20,34,22.3,14.6,11.5,18,"£45,799"
309,3511,134680,Primary,24,26,12,21.6,25.3,7.1,19.8,"£45,376"
309,3512,134681,Primary,25,25,10,22.0,15.1,8.4,19.7,"£50,537"
370,3324,134687,Primary,23,30,6,19.9,23.8,4.4,22,"£43,236"
204,6905,134693,Secondary,118,45,43,113.1,43.2,39.8,12.8,"£46,825"
821,3363,134701,Primary,44,38,10,39.1,28.4,9.4,21.2,"£38,011"
807,3394,134705,Primary,16,14,12,15.2,12.7,6.1,17.6,"£39,915"
808,3394,134708,Primary,26,14,1,25.5,13.8,1.0,25.5,"£32,767"
841,3515,134719,Primary,29,13,3,26.6,11.7,2.8,20.7,"£37,045"
341,3963,134722,Primary,16,16,9,15.0,14.3,8.1,22.5,"£41,918"
341,3964,134723,Primary,12,8,5,12.0,7.0,4.8,16.7,"£35,086"
816,7032,134727,Not applicable,29,88,33,27.0,63.4,20.0,6.6,"£40,643"
936,3937,134732,Primary,15,12,6,12.9,8.7,4.8,19.8,"£42,114"
850,3667,134734,Primary,25,16,7,21.1,11.5,4.7,17.7,"£39,507"
909,3662,134739,Primary,18,4,4,14.6,3.7,3.9,25.9,"£51,300"
867,3357,134740,Primary,19,23,5,15.4,18.0,3.9,21.4,"£40,123"
359,3437,134742,Primary,26,34,9,25.1,23.8,8.7,18.2,"£45,547"
331,3438,134745,Primary,24,15,8,22.0,13.5,6.9,19.4,"£36,984"
373,3433,134751,Primary,24,17,7,20.8,13.3,5.0,20.3,"£43,502"
830,3549,134773,Primary,10,10,1,9.5,6.4,1.0,16.4,"£36,213"
330,3431,134774,Primary,33,25,7,27.3,16.7,4.3,24.1,"£41,684"
938,3365,134776,Primary,23,28,9,19.3,15.1,6.7,21.9,"£39,767"
871,3366,134778,Primary,25,13,9,24.4,10.6,8.9,19.2,"£35,002"
356,3525,134779,Primary,22,20,8,19.5,13.3,6.2,23.6,"£35,089"
303,3510,134780,Primary,19,18,11,16.3,14.1,6.2,26.3,"£46,608"
886,7072,134783,Not applicable,57,134,23,55.0,106.6,20.9,6.7,"£41,812"
353,3504,134784,Primary,17,18,8,17.0,15.8,5.1,24.6,"£36,959"
343,3379,134785,Primary,14,23,3,13.0,17.1,1.9,17.5,"£40,064"
865,3464,134788,Primary,13,14,4,12.6,8.6,1.9,24.1,"£36,327"
909,3663,134789,Primary,15,17,11,12.6,10.2,3.6,22.8,"£43,287"
938,3370,134791,Primary,25,23,7,21.8,13.6,6.2,25.3,"£42,052"
302,6905,134798,All-through,108,17,28,103.1,16.2,26.6,16.1,"£45,639"
393,7006,134813,Not applicable,10,16,4,9.5,15.5,4.0,5.2,"£44,013"
928,6905,134814,Secondary,91,19,35,87.1,17.6,32.9,17.9,"£43,222"
208,6905,134815,Secondary,69,13,23,68.2,12.2,22.1,11.8,"£46,564"
330,3432,134840,Primary,48,42,12,43.6,34.2,9.9,19.1,"£40,151"
892,3323,134841,Primary,22,33,2,19.4,26.2,1.9,19.8,"£37,812"
892,3324,134842,Primary,13,18,4,11.6,11.4,3.1,19.6,"£42,578"
357,2081,134845,Primary,23,20,4,22.2,19.4,3.3,19.7,"£34,794"
894,3361,134852,Primary,20,34,3,18.2,23.8,2.2,21.1,"£36,793"
808,3395,134853,Primary,29,28,4,25.0,22.3,2.2,16.7,"£40,162"
840,3516,134855,Primary,11,17,4,9.6,15.8,2.3,21,"£42,808"
886,3898,134857,Primary,16,24,7,15.8,21.1,3.2,24.1,"£37,474"
882,3825,134860,Primary,21,21,11,18.4,16.3,7.3,22.9,"£41,748"
882,3826,134861,Primary,21,12,6,18.3,7.7,5.0,21.4,"£41,243"
342,7008,134865,Not applicable,38,84,6,34.4,73.1,5.4,6.5,"£41,372"
896,3803,134866,Primary,18,29,6,15.4,26.3,5.5,21.8,"£38,257"
813,3508,134867,Primary,15,25,6,13.9,13.8,5.3,20.8,"£39,443"
356,3526,134883,Primary,23,30,3,18.4,19.8,2.4,22.1,"£40,356"
383,7074,134884,Not applicable,36,127,27,33.4,83.3,22.0,6.9,"£42,099"
383,7073,134885,Not applicable,27,98,9,26.1,76.1,6.9,9.7,"£36,876"
839,3614,134892,Primary,14,11,5,11.8,6.4,4.8,19.6,"£39,577"
873,3389,134894,Primary,24,25,15,20.6,15.1,8.2,19.8,"£38,047"
938,3368,134896,Primary,31,22,10,24.6,13.0,5.8,20.4,"£40,680"
896,3804,134897,Primary,16,16,3,14.3,15.1,3.0,17.3,"£39,042"
210,3670,134903,Primary,19,29,10,17.6,21.1,8.5,16.8,"£45,731"
887,3759,134904,Primary,33,27,4,27.5,14.4,3.2,23.3,"£37,886"
383,3925,134913,Primary,12,15,3,10.1,9.8,1.9,21.7,"£40,288"
800,3448,134917,Primary,14,25,8,10.6,13.2,2.7,24.1,"£43,611"
937,3596,134924,Primary,13,11,3,11.3,7.7,2.4,23.3,"£42,834"
916,3370,134928,Primary,20,22,4,17.1,9.7,3.8,24.4,"£40,541"
310,3511,134929,Primary,19,17,5,18.0,10.7,3.5,19.9,"£42,386"
873,7025,134937,Not applicable,27,66,6,23.9,58.6,5.1,6.2,"£37,098"
850,3668,134945,Primary,16,16,9,14.6,11.3,4.3,19.6,"£37,912"
926,3424,134958,Primary,23,55,0,22.8,35.7,0.0,19.7,"£41,279"
926,3425,134960,Primary,40,61,7,34.1,47.2,6.4,18.8,"£36,725"
926,3428,134964,Primary,20,21,5,16.0,12.8,3.0,20.8,"£38,344"
926,3429,134965,Primary,26,26,15,21.9,20.0,9.1,18.5,"£35,736"
354,3511,134966,Primary,25,49,5,24.6,42.4,5.0,24,"£39,653"
890,3815,134967,Primary,20,30,8,19.6,23.9,4.7,21,"£39,795"
886,7073,134971,Not applicable,37,51,15,34.6,44.6,12.6,6.1,"£46,175"
873,7026,134972,Not applicable,33,89,10,28.4,83.4,8.1,7,"£41,496"
